date,type,value
2025-12-12,HKCategoryValueSleepAnalysisAsleepCore,293.0
2025-12-12,HKCategoryValueSleepAnalysisAsleepDeep,87.0
2025-12-12,HKCategoryValueSleepAnalysisAsleepREM,106.0
2025-12-12,HKQuantityTypeIdentifierRestingHeartRate,54.0
2025-12-12,HKQuantityTypeIdentifierStepCount,11374.0
2025-12-12,HKQuantityTypeIdentifierAppleExerciseTime,113.0
2025-12-12,training_load_score,152.0
2025-12-12,stress_score,33.887977120686564
2025-12-13,HKCategoryValueSleepAnalysisAsleepCore,274.0
2025-12-13,HKCategoryValueSleepAnalysisAsleepDeep,81.0
2025-12-13,HKCategoryValueSleepAnalysisAsleepREM,99.0
2025-12-13,HKQuantityTypeIdentifierRestingHeartRate,55.0
2025-12-13,HKQuantityTypeIdentifierStepCount,13161.0
2025-12-13,HKQuantityTypeIdentifierAppleExerciseTime,131.0
2025-12-13,training_load_score,180.0
2025-12-13,stress_score,31.22854070357327
2025-12-14,HKCategoryValueSleepAnalysisAsleepCore,291.0
2025-12-14,HKCategoryValueSleepAnalysisAsleepDeep,87.0
2025-12-14,HKCategoryValueSleepAnalysisAsleepREM,106.0
2025-12-14,HKQuantityTypeIdentifierRestingHeartRate,51.0
2025-12-14,HKQuantityTypeIdentifierStepCount,12757.0
2025-12-14,HKQuantityTypeIdentifierAppleExerciseTime,127.0
2025-12-14,training_load_score,161.0
2025-12-14,stress_score,22.391506537078097
2025-12-15,HKCategoryValueSleepAnalysisAsleepCore,280.0
2025-12-15,HKCategoryValueSleepAnalysisAsleepDeep,83.0
2025-12-15,HKCategoryValueSleepAnalysisAsleepREM,102.0
2025-12-15,HKQuantityTypeIdentifierRestingHeartRate,52.0
2025-12-15,HKQuantityTypeIdentifierStepCount,11847.0
2025-12-15,HKQuantityTypeIdentifierAppleExerciseTime,118.0
2025-12-15,training_load_score,153.0
2025-12-15,stress_score,29.445308682633055
2025-12-16,HKCategoryValueSleepAnalysisAsleepCore,281.0
2025-12-16,HKCategoryValueSleepAnalysisAsleepDeep,83.0
2025-12-16,HKCategoryValueSleepAnalysisAsleepREM,102.0
2025-12-16,HKQuantityTypeIdentifierRestingHeartRate,57.0
2025-12-16,HKQuantityTypeIdentifierStepCount,14063.0
2025-12-16,HKQuantityTypeIdentifierAppleExerciseTime,140.0
2025-12-16,training_load_score,199.0
2025-12-16,stress_score,8.814446931387625
2025-12-17,HKCategoryValueSleepAnalysisAsleepCore,296.0
2025-12-17,HKCategoryValueSleepAnalysisAsleepDeep,88.0
2025-12-17,HKCategoryValueSleepAnalysisAsleepREM,108.0
2025-12-17,HKQuantityTypeIdentifierRestingHeartRate,51.0
2025-12-17,HKQuantityTypeIdentifierStepCount,13995.0
2025-12-17,HKQuantityTypeIdentifierAppleExerciseTime,139.0
2025-12-17,training_load_score,177.0
2025-12-17,stress_score,7.413799126458653
2025-12-18,HKCategoryValueSleepAnalysisAsleepCore,255.0
2025-12-18,HKCategoryValueSleepAnalysisAsleepDeep,75.0
2025-12-18,HKCategoryValueSleepAnalysisAsleepREM,92.0
2025-12-18,HKQuantityTypeIdentifierRestingHeartRate,53.0
2025-12-18,HKQuantityTypeIdentifierStepCount,14172.0
2025-12-18,HKQuantityTypeIdentifierAppleExerciseTime,141.0
2025-12-18,training_load_score,186.0
2025-12-18,stress_score,50.05860552772156
2025-12-19,HKCategoryValueSleepAnalysisAsleepCore,272.0
2025-12-19,HKCategoryValueSleepAnalysisAsleepDeep,81.0
2025-12-19,HKCategoryValueSleepAnalysisAsleepREM,99.0
2025-12-19,HKQuantityTypeIdentifierRestingHeartRate,48.0
2025-12-19,HKQuantityTypeIdentifierStepCount,12853.0
2025-12-19,HKQuantityTypeIdentifierAppleExerciseTime,128.0
2025-12-19,training_load_score,153.0
2025-12-19,stress_score,32.2847182506919
