date,type,value
2025-12-12,HKCategoryValueSleepAnalysisAsleepCore,231.1
2025-12-12,HKCategoryValueSleepAnalysisAsleepDeep,68.0
2025-12-12,HKCategoryValueSleepAnalysisAsleepREM,83.2
2025-12-12,HKQuantityTypeIdentifierRestingHeartRate,64.9
2025-12-12,HKQuantityTypeIdentifierStepCount,4621.0
2025-12-12,HKQuantityTypeIdentifierAppleExerciseTime,43.2
2025-12-12,training_load_score,70.0
2025-12-12,stress_score,49.04
2025-12-13,HKCategoryValueSleepAnalysisAsleepCore,226.8
2025-12-13,HKCategoryValueSleepAnalysisAsleepDeep,68.0
2025-12-13,HKCategoryValueSleepAnalysisAsleepREM,83.2
2025-12-13,HKQuantityTypeIdentifierRestingHeartRate,70.5
2025-12-13,HKQuantityTypeIdentifierStepCount,7011.0
2025-12-13,HKQuantityTypeIdentifierAppleExerciseTime,67.2
2025-12-13,training_load_score,118.4
2025-12-13,stress_score,45.15
2025-12-14,HKCategoryValueSleepAnalysisAsleepCore,229.0
2025-12-14,HKCategoryValueSleepAnalysisAsleepDeep,68.0
2025-12-14,HKCategoryValueSleepAnalysisAsleepREM,83.2
2025-12-14,HKQuantityTypeIdentifierRestingHeartRate,65.8
2025-12-14,HKQuantityTypeIdentifierStepCount,6045.0
2025-12-14,HKQuantityTypeIdentifierAppleExerciseTime,57.6
2025-12-14,training_load_score,94.8
2025-12-14,stress_score,48.88
2025-12-15,HKCategoryValueSleepAnalysisAsleepCore,253.8
2025-12-15,HKCategoryValueSleepAnalysisAsleepDeep,75.6
2025-12-15,HKCategoryValueSleepAnalysisAsleepREM,92.9
2025-12-15,HKQuantityTypeIdentifierRestingHeartRate,63.9
2025-12-15,HKQuantityTypeIdentifierStepCount,7175.0
2025-12-15,HKQuantityTypeIdentifierAppleExerciseTime,68.4
2025-12-15,training_load_score,109.3
2025-12-15,stress_score,32.86
2025-12-16,HKCategoryValueSleepAnalysisAsleepCore,239.8
2025-12-16,HKCategoryValueSleepAnalysisAsleepDeep,71.3
2025-12-16,HKCategoryValueSleepAnalysisAsleepREM,87.5
2025-12-16,HKQuantityTypeIdentifierRestingHeartRate,68.6
2025-12-16,HKQuantityTypeIdentifierStepCount,7210.0
2025-12-16,HKQuantityTypeIdentifierAppleExerciseTime,68.4
2025-12-16,training_load_score,117.3
2025-12-16,stress_score,40.25
2025-12-17,HKCategoryValueSleepAnalysisAsleepCore,277.6
2025-12-17,HKCategoryValueSleepAnalysisAsleepDeep,83.2
2025-12-17,HKCategoryValueSleepAnalysisAsleepREM,101.5
2025-12-17,HKQuantityTypeIdentifierRestingHeartRate,60.2
2025-12-17,HKQuantityTypeIdentifierStepCount,5200.0
2025-12-17,HKQuantityTypeIdentifierAppleExerciseTime,49.2
2025-12-17,training_load_score,74.0
2025-12-17,stress_score,37.23
2025-12-18,HKCategoryValueSleepAnalysisAsleepCore,238.7
2025-12-18,HKCategoryValueSleepAnalysisAsleepDeep,71.3
2025-12-18,HKCategoryValueSleepAnalysisAsleepREM,86.4
2025-12-18,HKQuantityTypeIdentifierRestingHeartRate,71.4
2025-12-18,HKQuantityTypeIdentifierStepCount,7505.0
2025-12-18,HKQuantityTypeIdentifierAppleExerciseTime,72.0
2025-12-18,training_load_score,128.6
2025-12-18,stress_score,46.48
2025-12-19,HKCategoryValueSleepAnalysisAsleepCore,236.5
2025-12-19,HKCategoryValueSleepAnalysisAsleepDeep,70.2
2025-12-19,HKCategoryValueSleepAnalysisAsleepREM,86.4
2025-12-19,HKQuantityTypeIdentifierRestingHeartRate,69.6
2025-12-19,HKQuantityTypeIdentifierStepCount,5870.0
2025-12-19,HKQuantityTypeIdentifierAppleExerciseTime,55.2
2025-12-19,training_load_score,96.0
2025-12-19,stress_score,38.51
2025-12-20,HKCategoryValueSleepAnalysisAsleepCore,278.6
2025-12-20,HKCategoryValueSleepAnalysisAsleepDeep,82.1
2025-12-20,HKCategoryValueSleepAnalysisAsleepREM,100.4
2025-12-20,HKQuantityTypeIdentifierRestingHeartRate,63.9
2025-12-20,HKQuantityTypeIdentifierStepCount,5928.0
2025-12-20,HKQuantityTypeIdentifierAppleExerciseTime,56.4
2025-12-20,training_load_score,90.1
2025-12-20,stress_score,37.44
2025-12-21,HKCategoryValueSleepAnalysisAsleepCore,231.1
2025-12-21,HKCategoryValueSleepAnalysisAsleepDeep,68.0
2025-12-21,HKCategoryValueSleepAnalysisAsleepREM,84.2
2025-12-21,HKQuantityTypeIdentifierRestingHeartRate,72.4
2025-12-21,HKQuantityTypeIdentifierStepCount,5030.0
2025-12-21,HKQuantityTypeIdentifierAppleExerciseTime,48.0
2025-12-21,training_load_score,86.9
2025-12-21,stress_score,52.24
2025-12-22,HKCategoryValueSleepAnalysisAsleepCore,206.3
2025-12-22,HKCategoryValueSleepAnalysisAsleepDeep,61.6
2025-12-22,HKCategoryValueSleepAnalysisAsleepREM,74.5
2025-12-22,HKQuantityTypeIdentifierRestingHeartRate,67.7
2025-12-22,HKQuantityTypeIdentifierStepCount,7916.0
2025-12-22,HKQuantityTypeIdentifierAppleExerciseTime,75.6
2025-12-22,training_load_score,127.9
2025-12-22,stress_score,47.49
2025-12-23,HKCategoryValueSleepAnalysisAsleepCore,283.0
2025-12-23,HKCategoryValueSleepAnalysisAsleepDeep,84.2
2025-12-23,HKCategoryValueSleepAnalysisAsleepREM,102.6
2025-12-23,HKQuantityTypeIdentifierRestingHeartRate,67.7
2025-12-23,HKQuantityTypeIdentifierStepCount,6520.0
2025-12-23,HKQuantityTypeIdentifierAppleExerciseTime,62.4
2025-12-23,training_load_score,105.6
2025-12-23,stress_score,42.82
2025-12-24,HKCategoryValueSleepAnalysisAsleepCore,234.4
2025-12-24,HKCategoryValueSleepAnalysisAsleepDeep,69.1
2025-12-24,HKCategoryValueSleepAnalysisAsleepREM,84.2
2025-12-24,HKQuantityTypeIdentifierRestingHeartRate,65.8
2025-12-24,HKQuantityTypeIdentifierStepCount,6770.0
2025-12-24,HKQuantityTypeIdentifierAppleExerciseTime,64.8
2025-12-24,training_load_score,106.6
2025-12-24,stress_score,47.07
2025-12-25,HKCategoryValueSleepAnalysisAsleepCore,217.1
2025-12-25,HKCategoryValueSleepAnalysisAsleepDeep,63.7
2025-12-25,HKCategoryValueSleepAnalysisAsleepREM,78.8
2025-12-25,HKQuantityTypeIdentifierRestingHeartRate,56.4
2025-12-25,HKQuantityTypeIdentifierStepCount,8498.0
2025-12-25,HKQuantityTypeIdentifierAppleExerciseTime,80.4
2025-12-25,training_load_score,113.4
2025-12-25,stress_score,29.56
