date,type,value
2025-12-12,HKCategoryValueSleepAnalysisAsleepCore,214.0
2025-12-12,HKCategoryValueSleepAnalysisAsleepDeep,63.0
2025-12-12,HKCategoryValueSleepAnalysisAsleepREM,77.0
2025-12-12,HKQuantityTypeIdentifierRestingHeartRate,69.0
2025-12-12,HKQuantityTypeIdentifierStepCount,3697.0
2025-12-12,HKQuantityTypeIdentifierAppleExerciseTime,36.0
2025-12-12,training_load_score,62.0
2025-12-12,stress_score,57.68877811426074
2025-12-13,HKCategoryValueSleepAnalysisAsleepCore,210.0
2025-12-13,HKCategoryValueSleepAnalysisAsleepDeep,63.0
2025-12-13,HKCategoryValueSleepAnalysisAsleepREM,77.0
2025-12-13,HKQuantityTypeIdentifierRestingHeartRate,75.0
2025-12-13,HKQuantityTypeIdentifierStepCount,5609.0
2025-12-13,HKQuantityTypeIdentifierAppleExerciseTime,56.0
2025-12-13,training_load_score,105.0
2025-12-13,stress_score,53.11872170182797
2025-12-14,HKCategoryValueSleepAnalysisAsleepCore,212.0
2025-12-14,HKCategoryValueSleepAnalysisAsleepDeep,63.0
2025-12-14,HKCategoryValueSleepAnalysisAsleepREM,77.0
2025-12-14,HKQuantityTypeIdentifierRestingHeartRate,70.0
2025-12-14,HKQuantityTypeIdentifierStepCount,4836.0
2025-12-14,HKQuantityTypeIdentifierAppleExerciseTime,48.0
2025-12-14,training_load_score,84.0
2025-12-14,stress_score,57.505422938705486
2025-12-15,HKCategoryValueSleepAnalysisAsleepCore,235.0
2025-12-15,HKCategoryValueSleepAnalysisAsleepDeep,70.0
2025-12-15,HKCategoryValueSleepAnalysisAsleepREM,86.0
2025-12-15,HKQuantityTypeIdentifierRestingHeartRate,68.0
2025-12-15,HKQuantityTypeIdentifierStepCount,5740.0
2025-12-15,HKQuantityTypeIdentifierAppleExerciseTime,57.0
2025-12-15,training_load_score,96.0
2025-12-15,stress_score,38.65437522224738
2025-12-16,HKCategoryValueSleepAnalysisAsleepCore,222.0
2025-12-16,HKCategoryValueSleepAnalysisAsleepDeep,66.0
2025-12-16,HKCategoryValueSleepAnalysisAsleepREM,81.0
2025-12-16,HKQuantityTypeIdentifierRestingHeartRate,73.0
2025-12-16,HKQuantityTypeIdentifierStepCount,5768.0
2025-12-16,HKQuantityTypeIdentifierAppleExerciseTime,57.0
2025-12-16,training_load_score,104.0
2025-12-16,stress_score,47.350104722781424
2025-12-17,HKCategoryValueSleepAnalysisAsleepCore,257.0
2025-12-17,HKCategoryValueSleepAnalysisAsleepDeep,77.0
2025-12-17,HKCategoryValueSleepAnalysisAsleepREM,94.0
2025-12-17,HKQuantityTypeIdentifierRestingHeartRate,64.0
2025-12-17,HKQuantityTypeIdentifierStepCount,4160.0
2025-12-17,HKQuantityTypeIdentifierAppleExerciseTime,41.0
2025-12-17,training_load_score,65.0
2025-12-17,stress_score,43.802821478254856
2025-12-18,HKCategoryValueSleepAnalysisAsleepCore,221.0
2025-12-18,HKCategoryValueSleepAnalysisAsleepDeep,66.0
2025-12-18,HKCategoryValueSleepAnalysisAsleepREM,80.0
2025-12-18,HKQuantityTypeIdentifierRestingHeartRate,76.0
2025-12-18,HKQuantityTypeIdentifierStepCount,6004.0
2025-12-18,HKQuantityTypeIdentifierAppleExerciseTime,60.0
2025-12-18,training_load_score,114.0
2025-12-18,stress_score,54.67801980879168
