date,type,value
2025-12-12,HKCategoryValueSleepAnalysisAsleepCore,109.0
2025-12-12,HKCategoryValueSleepAnalysisAsleepDeep,32.0
2025-12-12,HKCategoryValueSleepAnalysisAsleepREM,39.0
2025-12-12,HKQuantityTypeIdentifierRestingHeartRate,89.0
2025-12-12,HKQuantityTypeIdentifierStepCount,1573.0
2025-12-12,HKQuantityTypeIdentifierAppleExerciseTime,15.0
2025-12-12,training_load_score,33.0
2025-12-12,stress_score,87.69329546118915
2025-12-13,HKCategoryValueSleepAnalysisAsleepCore,120.0
2025-12-13,HKCategoryValueSleepAnalysisAsleepDeep,35.0
2025-12-13,HKCategoryValueSleepAnalysisAsleepREM,43.0
2025-12-13,HKQuantityTypeIdentifierRestingHeartRate,83.0
2025-12-13,HKQuantityTypeIdentifierStepCount,1577.0
2025-12-13,HKQuantityTypeIdentifierAppleExerciseTime,15.0
2025-12-13,training_load_score,31.0
2025-12-13,stress_score,87.78202546897164
2025-12-14,HKCategoryValueSleepAnalysisAsleepCore,168.0
2025-12-14,HKCategoryValueSleepAnalysisAsleepDeep,49.0
2025-12-14,HKCategoryValueSleepAnalysisAsleepREM,60.0
2025-12-14,HKQuantityTypeIdentifierRestingHeartRate,83.0
2025-12-14,HKQuantityTypeIdentifierStepCount,1644.0
2025-12-14,HKQuantityTypeIdentifierAppleExerciseTime,16.0
2025-12-14,training_load_score,33.0
2025-12-14,stress_score,65.92696282504849
2025-12-15,HKCategoryValueSleepAnalysisAsleepCore,195.0
2025-12-15,HKCategoryValueSleepAnalysisAsleepDeep,58.0
2025-12-15,HKCategoryValueSleepAnalysisAsleepREM,71.0
2025-12-15,HKQuantityTypeIdentifierRestingHeartRate,83.0
2025-12-15,HKQuantityTypeIdentifierStepCount,2465.0
2025-12-15,HKQuantityTypeIdentifierAppleExerciseTime,24.0
2025-12-15,training_load_score,49.0
2025-12-15,stress_score,64.89317745325397
2025-12-16,HKCategoryValueSleepAnalysisAsleepCore,224.0
2025-12-16,HKCategoryValueSleepAnalysisAsleepDeep,67.0
2025-12-16,HKCategoryValueSleepAnalysisAsleepREM,82.0
2025-12-16,HKQuantityTypeIdentifierRestingHeartRate,89.0
2025-12-16,HKQuantityTypeIdentifierStepCount,1733.0
2025-12-16,HKQuantityTypeIdentifierAppleExerciseTime,17.0
2025-12-16,training_load_score,37.0
2025-12-16,stress_score,69.14556180318024
2025-12-17,HKCategoryValueSleepAnalysisAsleepCore,233.0
2025-12-17,HKCategoryValueSleepAnalysisAsleepDeep,69.0
2025-12-17,HKCategoryValueSleepAnalysisAsleepREM,84.0
2025-12-17,HKQuantityTypeIdentifierRestingHeartRate,84.0
2025-12-17,HKQuantityTypeIdentifierStepCount,1821.0
2025-12-17,HKQuantityTypeIdentifierAppleExerciseTime,18.0
2025-12-17,training_load_score,37.0
2025-12-17,stress_score,81.41913292520216
2025-12-18,HKCategoryValueSleepAnalysisAsleepCore,175.0
2025-12-18,HKCategoryValueSleepAnalysisAsleepDeep,52.0
2025-12-18,HKCategoryValueSleepAnalysisAsleepREM,63.0
2025-12-18,HKQuantityTypeIdentifierRestingHeartRate,90.0
2025-12-18,HKQuantityTypeIdentifierStepCount,2325.0
2025-12-18,HKQuantityTypeIdentifierAppleExerciseTime,23.0
2025-12-18,training_load_score,51.0
2025-12-18,stress_score,61.68450078808824
2025-12-19,HKCategoryValueSleepAnalysisAsleepCore,109.0
2025-12-19,HKCategoryValueSleepAnalysisAsleepDeep,32.0
2025-12-19,HKCategoryValueSleepAnalysisAsleepREM,39.0
2025-12-19,HKQuantityTypeIdentifierRestingHeartRate,92.0
2025-12-19,HKQuantityTypeIdentifierStepCount,1481.0
2025-12-19,HKQuantityTypeIdentifierAppleExerciseTime,14.0
2025-12-19,training_load_score,32.0
2025-12-19,stress_score,66.68932449234897
2025-12-20,HKCategoryValueSleepAnalysisAsleepCore,197.0
2025-12-20,HKCategoryValueSleepAnalysisAsleepDeep,59.0
2025-12-20,HKCategoryValueSleepAnalysisAsleepREM,72.0
2025-12-20,HKQuantityTypeIdentifierRestingHeartRate,82.0
2025-12-20,HKQuantityTypeIdentifierStepCount,1449.0
2025-12-20,HKQuantityTypeIdentifierAppleExerciseTime,14.0
2025-12-20,training_load_score,28.0
2025-12-20,stress_score,72.9212065964142
2025-12-21,HKCategoryValueSleepAnalysisAsleepCore,221.0
2025-12-21,HKCategoryValueSleepAnalysisAsleepDeep,66.0
2025-12-21,HKCategoryValueSleepAnalysisAsleepREM,80.0
2025-12-21,HKQuantityTypeIdentifierRestingHeartRate,90.0
2025-12-21,HKQuantityTypeIdentifierStepCount,2071.0
2025-12-21,HKQuantityTypeIdentifierAppleExerciseTime,20.0
2025-12-21,training_load_score,45.0
2025-12-21,stress_score,76.14232614891516
2025-12-22,HKCategoryValueSleepAnalysisAsleepCore,152.0
2025-12-22,HKCategoryValueSleepAnalysisAsleepDeep,45.0
2025-12-22,HKCategoryValueSleepAnalysisAsleepREM,55.0
2025-12-22,HKQuantityTypeIdentifierRestingHeartRate,89.0
2025-12-22,HKQuantityTypeIdentifierStepCount,2268.0
2025-12-22,HKQuantityTypeIdentifierAppleExerciseTime,22.0
2025-12-22,training_load_score,48.0
2025-12-22,stress_score,66.65579603418094
2025-12-23,HKCategoryValueSleepAnalysisAsleepCore,190.0
2025-12-23,HKCategoryValueSleepAnalysisAsleepDeep,56.0
2025-12-23,HKCategoryValueSleepAnalysisAsleepREM,69.0
2025-12-23,HKQuantityTypeIdentifierRestingHeartRate,69.0
2025-12-23,HKQuantityTypeIdentifierStepCount,2370.0
2025-12-23,HKQuantityTypeIdentifierAppleExerciseTime,23.0
2025-12-23,training_load_score,39.0
2025-12-23,stress_score,65.12012378483028
2025-12-24,HKCategoryValueSleepAnalysisAsleepCore,189.0
2025-12-24,HKCategoryValueSleepAnalysisAsleepDeep,56.0
2025-12-24,HKCategoryValueSleepAnalysisAsleepREM,69.0
2025-12-24,HKQuantityTypeIdentifierRestingHeartRate,78.0
2025-12-24,HKQuantityTypeIdentifierStepCount,2479.0
2025-12-24,HKQuantityTypeIdentifierAppleExerciseTime,24.0
2025-12-24,training_load_score,46.0
2025-12-24,stress_score,41.406424920434546
2025-12-25,HKCategoryValueSleepAnalysisAsleepCore,205.0
2025-12-25,HKCategoryValueSleepAnalysisAsleepDeep,61.0
2025-12-25,HKCategoryValueSleepAnalysisAsleepREM,75.0
2025-12-25,HKQuantityTypeIdentifierRestingHeartRate,92.0
2025-12-25,HKQuantityTypeIdentifierStepCount,985.0
2025-12-25,HKQuantityTypeIdentifierAppleExerciseTime,9.0
2025-12-25,training_load_score,20.0
2025-12-25,stress_score,57.866815551546296
2025-12-26,HKCategoryValueSleepAnalysisAsleepCore,159.0
2025-12-26,HKCategoryValueSleepAnalysisAsleepDeep,47.0
2025-12-26,HKCategoryValueSleepAnalysisAsleepREM,58.0
2025-12-26,HKQuantityTypeIdentifierRestingHeartRate,96.0
2025-12-26,HKQuantityTypeIdentifierStepCount,1392.0
2025-12-26,HKQuantityTypeIdentifierAppleExerciseTime,13.0
2025-12-26,training_load_score,31.0
2025-12-26,stress_score,75.40739260314733
2025-12-27,HKCategoryValueSleepAnalysisAsleepCore,227.0
2025-12-27,HKCategoryValueSleepAnalysisAsleepDeep,68.0
2025-12-27,HKCategoryValueSleepAnalysisAsleepREM,83.0
2025-12-27,HKQuantityTypeIdentifierRestingHeartRate,84.0
2025-12-27,HKQuantityTypeIdentifierStepCount,1870.0
2025-12-27,HKQuantityTypeIdentifierAppleExerciseTime,18.0
2025-12-27,training_load_score,37.0
2025-12-27,stress_score,49.20683511615918
2025-12-28,HKCategoryValueSleepAnalysisAsleepCore,191.0
2025-12-28,HKCategoryValueSleepAnalysisAsleepDeep,57.0
2025-12-28,HKCategoryValueSleepAnalysisAsleepREM,69.0
2025-12-28,HKQuantityTypeIdentifierRestingHeartRate,91.0
2025-12-28,HKQuantityTypeIdentifierStepCount,2353.0
2025-12-28,HKQuantityTypeIdentifierAppleExerciseTime,23.0
